identifier,dc:identifier,dc:title,dc:creator,dc:description,dc:date,dc:subject,dc:source,dc:type1,dc:type2,dc:type,dc:format,dc:rights
oai:nwdh:mcl:oai:gallery.multcolib.org:1382,https://gallery.multcolib.org/node/1382,"Arleta Branch interior, with children",,"A photograph of story hour at the Arleta Branch. Librarian Lois Tolbert Sayles, is standing and reading a book to an audience of children seated in wooden chairs. Lois was the first African American librarian to work for Multnomah County Library. A sign on a wooden table reads 'STORY HOUR, THURSDAY, 4:00.' An upright piano sits in the back left corner.; ||",1950-1959,"Portland, Oregon; Children's libraries--Activity programs; Children's stories; Children--Books and reading; African American children's librarians; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1383,https://gallery.multcolib.org/node/1383,"Arleta Branch interior, with children, adults","Monner, Al","A photograph of the interior of the Arleta Branch. In the foreground is a book bin with a sign that reads 'NEW FICTION.' Behind the book bin is an empty wooden table with eight wooden chairs. In the center of the room are two library staff members standing behind a circulation desk while assisting a woman. On the left are two women, one wearing white cat-eye glasses, seated next to a book shelf. On the right are three young girls reading while seated at a table. Also in view are three multi-pane windows on the back wall, book shelving along adjacent walls, and a card catalog.; ||",1960-1969,"Portland, Oregon; Library shelving; Tables; Chairs; Desks; Library users; Public libraries--Employees; Card catalogs; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1384,https://gallery.multcolib.org/node/1384,"Arleta Branch interior, with children, adults","Monner, Al","A photograph of the interior of the Arleta Branch. In the foreground is an empty wooden table with six wooden chairs. On the left is an information desk and three young girls seated at a table. In the center of the room are two library staff members standing behind the circulation desk with a cash register. Another library member is seated at another desk adjacent to the circulation desk. Two men, possibly three, are standing near the front entrance reading what appears to be newspaper pages posted on a door. Also in view are multi-pane windows, some arched, library shelving with books, and a small United States flag on shelving in the room corner.; ||",1960-1969,"Portland, Oregon; Tables; Chairs; Desks; Library shelving; Library users; Public libraries--Employees; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1385,https://gallery.multcolib.org/node/1385,"Arleta Branch interior, baby clinic",Acme Photo,"A photograph of a baby clinic held in the Arleta Branch. A doctor dressed in white examines an infant lying on a table. A young female assistant dressed in white is seated at the table and holding the infant's feet. Another woman dressed in white is behind the doctor. The room has wooden chairs, many filled with mothers dressed in coats and hats and holding infants.; ||",1920-1929,"Portland, Oregon; Libraries and infants; Mother and child; Pediatric clinics; Library outreach programs; ",Multnomah County Library,color photographs,StillImage; color photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1386,https://gallery.multcolib.org/node/1386,Man at mailbox in front of bookmobile,,A photograph of a man standing at a mailbox in front of a bookmobile on a dirt road. One back door is open showing shelves of books inside.; ||,1930-1939,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; Books; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1387,https://gallery.multcolib.org/node/1387,Girls sitting on side of bookmobile,,"A photograph of four girls sitting on the running board of a bookmobile. The girl on the far left may be Betty Helen Fowler (later Allen, then Braden) who worked at the library in the early 1940s and then again in the 60s until her retirement in 1981. They are all wearing dresses and reading books. The front door of the bookmobile reads, 'Public Library'.; ||",1920-1929,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; Books; Children--Books and reading; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1388,https://gallery.multcolib.org/node/1388,Women with books standing at the back of a bookmobile,,A photograph of five women and one girl standing at the back of a bookmobile on a dirt road.  One of the backdoors is open and a shelf of books is visible inside. The women are holding stacks of books.; ||,1930-1939,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; Books; Children--Books and reading; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1389,https://gallery.multcolib.org/node/1389,Exterior of bookmobile,,A photograph of Multnomah County Library bookmobile parked in front of the Central library. On the side of the truck is printed 'Multnomah County Library Rural Book Service'. On the rear of the truck is printed 'Rural Book Service'.; ||,,"Portland, Oregon; Bookmobiles; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1390,https://gallery.multcolib.org/node/1390,Women and man with pipe standing at the back of a bookmobile,,A photograph of two women and one man standing at the back of a bookmobile on a dirt road.  The women are looking at a book together and a man with a pipe is stepping up on the back of the bookmobile. One of the backdoors is open and a shelf of books is visible inside. A man is standing inside the bookmobile looking at a book.; ||,1930-1939,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; Books; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1391,https://gallery.multcolib.org/node/1391,Adults and dogs gathered at back of bookmobile,,A photograph of two women and three boys standing at the back of a bookmobile on a dirt road. One rear door is open showing a man and a bookshelf inside the bookmobile. The oldest boy is reading to a younger boy and two dogs are in the photograph.; ||,1930-1939,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; Books; Dogs; Children--Books and reading; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1392,https://gallery.multcolib.org/node/1392,Children gathered outside bookmobile,,"A photograph of children gathered around a small table outside of a bookmobile. A library staff person sits at the table. The side door of the bookmobile is open and a girl is browsing the shelf of books. Lettering on the side of the bookmobile reads, 'MULTNOMAH' and 'RURAL SERVICE' on the front passenger door. The side of the engine hood reads 'DODGE BROTHERS'. The bookmobile is parked in tall grass and a line of telephone poles is visible in the distance.; ||",1930-1939,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; Books; Children--Books and reading; Library employees; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1393,https://gallery.multcolib.org/node/1393,Adults and children gathered outside bookmobile in front of Parkrose school,,"A photograph of children and one adult man standing in line in front of a small table outside the bookmobile. A library staff person sits at the table helping a young girl. The side door of the bookmobile is open showing the books on the shelves. Lettering on the side of the bookmobile reads, 'MULTNOMAH COU', the rest of the word is cut off because the side door is open. The bookmobile is parked in front of Parkrose school and there is a Model T style car in the background. A boy standing in line is holding a bicycle and there is a small dog next to him.; ||",1930-1939,"Portland, Oregon; Bookmobiles; Library outreach programs; Books; Children--Books and reading; Library employees; Dogs; School buildings; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1394,https://gallery.multcolib.org/node/1394,Adults and children gathered outside bookmobile,,"A photograph of adults and children standing in line around a table set up outside the bookmobile. The side of the bookmobile reads, 'MULTNOMAH COUNTY LIBRARY'. There are stacks of books on the table and a man is looking through a stack. This picture is from the Library Association of Portland (Oregon) summer rural service of 1936.; ||",1930-1939,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; Books; Children--Books and reading; Library employees; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1395,https://gallery.multcolib.org/node/1395,Woman with dog holding books in front of bookmobile,,"A photograph of a woman holding a stack of books while standing next to a Collie dog in front of a Model T-sytle bookmobile. The woman is wearing a light colored dress with square pattern, mid-calf length. The road in the foreground is unpaved. The bookmobile is parked under large trees and a house is in the background. A small sign on the tree reads 'Sweet Brier FARM'.; ||",1920-1929,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; Books; Dogs; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1396,https://gallery.multcolib.org/node/1396,Children gathered outside bookmobile,,"A photograph of children gathered the side of the bookmobile looking at books on the shelves. The side door of the bookmobile is open. One boy is hanging off the side of the bookmobile and one is leaning on the wheel well, many of the children are holding books.; ||",1920-1929,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; Books; Children--Books and reading; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1397,https://gallery.multcolib.org/node/1397,Bookmobile parked in front of Union High School,,"A photograph of three women, one man and a boy in a wheelchair outside the bookmobile. The side of the bookmobile reads, 'PUBLIC LIBRARY'. The side door is open showing shelves of books. The bookmobile is parked in front of Union High School Dis't no 1 and two women are standing in front of the doors to the school.; ||",1920-1929,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; Books; Children--Books and reading; School buildings; Wheelchairs; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1398,https://gallery.multcolib.org/node/1398,Bookmobile service in Model T-style car,,"A photograph of women and children outside a Model T style bookmobile. The side of the bookmobile is open showing shelves of books and a woman is putting a book back on a shelf, the children are browsing through books. The front door of the bookmobile is open showing a 'PUBLIC LIBRARY' placard below the front seats.; ||",,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; Books; Children--Books and reading; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1399,https://gallery.multcolib.org/node/1399,Bookmobile exterior,,An exterior photograph of the bookmobile. The bookmobile is parked on a dirt road with trees in the background and all the doors are closed. 'Multnomah County Library Bookmobile' is printed on the side.; ||,1940-1949,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1400,https://gallery.multcolib.org/node/1400,Bookmobile service in Model T-style car,,A photograph of adults and children outside a Model T style bookmobile. The both sides and the back of the bookmobile are open showing stacks and shelves of books. The people are gathered around the bookmobile browsing through books and shelves.; ||,,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; Books; Children--Books and reading; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1401,https://gallery.multcolib.org/node/1401,Bookmobile service in Model T-style car,,A photograph of a woman and children outside a Model T style bookmobile. The rear and side of the bookmobile are open. The open side of the bookmobile displays shelves of books. A young man is standing near the bookmobile reading. A library staff person is seated at a folding table checking out books for two young girls. The background displays a building with several advertisements. One sign on the building reads ' FREE PUBLIC LIBRARY STATION.'; ||,,"Multnomah County, Oregon; Bookmobiles; Books; Children--Books and reading; Library outreach programs; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1402,https://gallery.multcolib.org/node/1402,"Bookmobile, exterior, children, pony",,A photograph of five children with a pony at the side of a bookmobile. The side door is propped up and three of the children are browsing books. One child is barefoot. Lettering on the side of the bookmobile begins with 'MULTNOMAH COU...' and continues on the side door but is not visible as the door is up. On the front passenger door reads 'RURAL SERVICE.' On the side of the engine hood reads 'DODGE BROTHERS.' A white building with pointed arch windows is in the background. The ground is unpaved.; ||,1930-1939,"Multnomah County, Oregon; Bookmobiles; Children--Books and reading; Library outreach programs; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1403,https://gallery.multcolib.org/node/1403,Children and man gathered outside bookmobile,,A photograph of children gathered at the side of the bookmobile. The side door of the bookmobile is open and a few children are looking at books. There is a man standing at a small table piled with books and children are standing around it. One young girl is wearing a bathing suit.; ||,1930-1939,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; Books; Children--Books and reading; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1404,https://gallery.multcolib.org/node/1404,"Children, man and librarian gathered outside bookmobile",,"A photograph of children gathered at the side of the bookmobile. The side door of the bookmobile is open and a few children are looking at books. A librarian is sitting at a small table piled with books, there are children and one man standing around it. One young girl is wearing a bathing suit.; ||",1930-1939,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; Books; Children--Books and reading; Library employees; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1405,https://gallery.multcolib.org/node/1405,Women and children gathered outside the bookmobile,,"A photograph of women and children gathered at the side of the bookmobile. The side door of the bookmobile is open and a woman and child are looking at books. Two boys in the foreground are sitting in wagons that day 'DENCO FLYER' on the side. The door of the cab reads, 'RURAL SERVICE' and the side reads, 'Multnomah County'.; ||",1930-1939,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; Books; Children--Books and reading; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1406,https://gallery.multcolib.org/node/1406,Woman with umbrella holding books,"Edwards, Herman","A photograph of a smiling woman, Mrs. Leo Fehrenbacher, with an armful of books, standing beneath an umbrella she is holding.; ||",1940-1949,"Multnomah County, Oregon; Umbrellas; Books; Library outreach programs; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1407,https://gallery.multcolib.org/node/1407,Adults and children gathering around the bookmobile,,"A photograph of a bookmobile, with a driver and passenger inside, parked on a grassy field with trees around. Adults and children appear to be waiting for the bookmobile, many with books in hand. The side of the bookmobile reads, 'PUBLIC LIBRARY' as does the front door.; ||",1920-1929,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; Books; Children--Books and reading; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1408,https://gallery.multcolib.org/node/1408,Adults and dog gathered at a bookmobile,,A photograph of a bookmobile with several adults and a dog gathered around the front door. A woman is standing inside the cab. The bookmobile is parked on a dirt road in a rural setting.; ||,1920-1929,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; Books; Dogs; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1409,https://gallery.multcolib.org/node/1409,Two women inside the bookmobile,"Edwards, Herman","A photograph of two woman standing inside of the bookmobile. Florence Rauch, left, checks over library books with Betty Sanders of Springdale.; ||",1940-1949,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1410,https://gallery.multcolib.org/node/1410,Two women standing in the back of a bookmobile,,A photograph of two women standing in the back of a bookmobile. One woman is holding a pad and pencil and through the glass window shelves of books are visible. The bookmobile is parked on a dirt road and trees can be seen in the background.; ||,1940-1949,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; Books; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1411,https://gallery.multcolib.org/node/1411,A woman standing in the back of a bookmobile,,"A photograph of a woman standing in the back of a bookmobile, shelves of books are visible through the glass window. The bookmobile is parked on a dirt road and trees can be seen in the background.; ||",1940-1949,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; Books; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1412,https://gallery.multcolib.org/node/1412,A library employee outside a bookmobile,,"A photograph of a female library employee with a cart outside the driver's side of the bookmobile. The side reads, 'MULTNOMAH COUNTY LIBRARY BOOKMOBILE' and the truck is parked on a city street. There are parking meters and street lights visible and a few large buildings in the background.; ||",,"Portland, Oregon; Bookmobiles; Library outreach programs; Library employees; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1413,https://gallery.multcolib.org/node/1413,A woman standing in the back of a bookmobile,"Edwards, Herman",A photograph  of a woman holding an armful of books standing in the back of a bookmobile. Shelves of books are visible behind her and it appears to be raining outside. A telephone pole next to the back door has the number '221' painted on the side.; ||,1940-1949,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; Books; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1414,https://gallery.multcolib.org/node/1414,A woman standing in the back of a bookmobile talking with a man outside,The Oregonian,"A photograph of a woman standing in the open backdoor of a bookmobile. Shelves of books are visible behind her and it is raining outside. A man is standing by the backdoor wearing a coat, newsboy cap and tall rubber boots. 'MULTNOMAH COUNTY LIBRARY' is printed on the side of the bookmobile.; ||",1940-1949,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; Books; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1415,https://gallery.multcolib.org/node/1415,Exterior Fairview Library with people,"Wilson, Fred J.","A photograph of the exterior of Fairview Library. Lettering over the arched doorway reads 'FAIRVIEW-COLUMBIA-LIBRARY.' On either side of the doorway are arched windows of similar size. Above are rectangular shaped windows of apartments. Two each of blue and two white balloons are on the right. There are six people outside of the library entrance. June Mikkelsen is on the front left in a long black leather coat. To her immediate right are Janet Kinney and wearing sunglasses, possibly Ruth Metz. Fairview-Columbia Library, named by the community library committee, opened on November 13, 2001. It was Multnomah County's first mixed-use library building, housing the library on the ground floor and four market-rate apartments above.; ||",2000-2009,"Fairview, Oregon; Public libraries--Buildings; ",Multnomah County Library,color photographs,StillImage; color photographs,StillImage,image/jpeg,https://creativecommons.org/licenses/by-nc-sa/3.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1416,https://gallery.multcolib.org/node/1416,Exterior Woodstock Branch,"Wilson, Fred J.","A photograph of Woodstock Library. A bike with a kid cart and a crosswalk sign are near the entrance. A woman is kneeling in the grass in front of the building. The new, larger building opened in 2000 in the same location as the previous building.; ||",2000-2009,"Portland, Oregon; Public libraries--Buildings; ",Multnomah County Library,color photographs,StillImage; color photographs,StillImage,image/jpeg,https://creativecommons.org/licenses/by-nc-sa/3.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1417,https://gallery.multcolib.org/node/1417,Adults and kids at bookmobile under trees,,A photograph of adults and kids at a bookmobile in a rural setting. The bookmobile is parked under tall trees. The back door is open and books on shelves are in view. Some people are looking at books resting on a small table next to the bookmobile. The women and girls are wearing dresses in a variety of prints. A girl is seated at the foot of a tree. A boy is crouched down with a dog. Most of the kids and adults have books in their hands. This picture is from the Library Association of Portland (Oregon) summer rural service of 1936.; ||,1930-1939,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; Children--Books and reading; Women--Books and reading; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1418,https://gallery.multcolib.org/node/1418,A Bookmobile parked in front of a white house,,"A photograph of a bookmobile parked in front of a two story white house. A woman can be seen approaching the bookmobile carrying a stack of magazines or newspapers. 'BOOKMOBILE' is printed above the windshield, 'MULTNOMAH COUNTY LIBRARY BOOKMOBILE' is printed along the side and 'OPERATED BY Library Association of Portland' is printed on the front door. In the background is a barn with 'HOODVIEW HOLSTEIN FARM Wm.E. & H.B. Tegart Owners' painted on the side. This farm was located on NE Sandy BLVD. TESTING EDIT; ||",,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; Books; Farm buildings; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC-RUU/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1419,https://gallery.multcolib.org/node/1419,Delivery of library books at Brooks school,,"A photograph of an old style automobile with a man and a dog sitting in the front seat. The car is parked in front of Brooks School. There are women and children standing in front of the door, gathered around a small crate.; ||",,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; Books; School buildings; Dogs; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1420,https://gallery.multcolib.org/node/1420,Children gathered outside a bookmobile,,"A photograph of children gathered at the side of a bookmobile. The side door of the bookmobile is open and children are looking at books. The door of the cab reads, 'RURAL SERVICE' and the side reads, 'MULTNOMAH COUNTY'.; ||",1930-1939,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; Books; Children--Books and reading; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1421,https://gallery.multcolib.org/node/1421,Public library station sign in front of a schoolhouse or church,,A photograph of a public library station sign on the side of a tree. In the background is a schoolhouse or a church with a bell tower. Two people are standing on the porch. Deposit stations housed small collections of library books in support of the free library movement in the early 1900s.; ||,,"Multnomah County, Oregon; Library outreach programs; Library signs; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1422,https://gallery.multcolib.org/node/1422,A bookmobile parked on a dirt road with Mt. Hood painted in the background,"Sands, Howard A.","A photograph of a bookmobile parked on a dirt road. There are adults, children and a dog gathered around the side of the bookmobile. The children are standing with a shovel and rake, and the adults are looking at books. There are two people inside the bookmobile looking out through open windows. Mt. Hood is painted in the background covered in snow.; ||",,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; Books; Children--Books and reading; Dogs; Agricultural implements; Oregon--Mount Hood; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC-RUU/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1423,https://gallery.multcolib.org/node/1423,Two women standing at the back of a bookmobile,"Monner, Al",A photograph two women at the back of a bookmobile. One woman is standing outside the bookmobile holding a small stack of books and the other woman is standing inside. 'MULTNOMAH COUNTY LIBRARY BOOKMOBILE' is printed on the side of the bookmobile and shelves of books are visible inside. In the background is a tall birdhouse.; ||,1940-1949,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; Books; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1424,https://gallery.multcolib.org/node/1424,Adults and children gathered around a bookmobile parked at the Forestry Building,"Monner, Al",A photograph of a bookmobile taken in front of the Forestry Building in Portland Oregon. The side door of the bookmobile is open showing shelves of books and adults and children are gathered around.; ||,1920-1929,"Portland, Oregon; Bookmobiles; Library outreach programs; Books; Children--Books and reading; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1425,https://gallery.multcolib.org/node/1425,"Interior of bookmobile, 1929","Monner, Al",A photograph of the interior of a bookmobile in 1929. Books sit on shelves with straps. A fedora-style hat rests on some books near the back window where light is coming in.; ||,1920-1929,"Multnomah County, Oregon; Bookmobiles; Books; Hats; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1426,https://gallery.multcolib.org/node/1426,Winter book service,"Monner, Al",A photograph of a bookmobile driving on a snow covered road in a forested setting.; ||,1920-1929,"Multnomah County, Oregon; Bookmobiles; Library outreach programs; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1427,https://gallery.multcolib.org/node/1427,Students in high school library,"Sands, Howard A.","A photograph of high school students, possible in Clinton Kelly High School of Commerce, now known as Cleveland High School. All the tables and chairs are filled with students studying. The young men are wearing suits and ties. On the left is a library staff member standing behind a service desk and assisting three students, also standing. The young woman in full view at the desk is wearing a dress and bobbed hair. Dark wooden book shelves with books are set in along the back and adjacent walls. Pendant lights hang from the ceiling.; ||",1930-1939,"Portland, Oregon; High school students--Services for; High school students--Books and reading; High school libraries; Library employees; Desks; Chairs; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC-RUU/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1428,https://gallery.multcolib.org/node/1428,Students reading in classroom,,A photograph of students reading in a school classroom. Each of the students are seated and reading an open book at their own small wooden desk. A woman wearing a white blouse is standing on the side under a wall clock with an open book in her hands. A chalkboard with the alphabet in cursive runs the length of the back wall. Pendant lighting hangs from the ceiling.; ||,1930-1939,"Portland, Oregon; School children--Services for; School children--Books and reading; Classrooms; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/UND/1.0/
oai:nwdh:mcl:oai:gallery.multcolib.org:1429,https://gallery.multcolib.org/node/1429,"School Service, librarians selecting books",,"A photograph of a librarian selecting books to send to schools in rural areas. Dressed in a skirt suit, the woman is standing in an aisle of shelving with books lying on their side. She is holding open a book and reading. A man in a suit is standing in the background with an open book and reading. Four lights hang from the ceiling in the middle of the aisle.; ||",,"Portland, Oregon; School children--Services for; Public librarians; Library shelving; Books; ",Multnomah County Library,black-and-white photographs,StillImage; black-and-white photographs,StillImage,image/jpeg,http://rightsstatements.org/vocab/InC-RUU/1.0/
